broad_id,drug_name,viability_cv,mean_lfc,std_lfc,n_cell_lines
BRD-A00047421-001-01-7,ARV-825,0.667471615292313,-2.3422093458875293,1.5633582554523011,916
BRD-A00092689-236-04-9,DOCUSATE,3.6917166408878868,-0.1182079973897937,0.4363904310499333,914
BRD-A00559310-003-01-1,W-54011,2.018499561626867,-0.20343568527147685,0.41063484153973734,914
BRD-A04843135-001-09-9,OXAMNIQUINE,6.406379646046063,-0.05632947489868499,0.36086800146339815,897
BRD-A06784547-001-03-9,MRS-1334,24.338132218131083,-0.018324798052581536,0.4459913578742804,914
BRD-A09487507-001-03-9,P7C3,3.872785551805003,-0.13132369587225595,0.5085885119837071,911
BRD-A12147465-003-02-9,TC-A-2317,0.6734393715820302,-2.176023381990212,1.4654198189152925,916
BRD-A14757586-001-04-9,TETRAZOL-5-YL-GLYCINE-(RS),16.535906351163472,0.03001007813660928,0.4962438416580694,914
BRD-A18579359-001-05-9,WISKOSTATIN,3.3849139396968964,-0.14324709510968112,0.4848790890578467,914
BRD-A18598741-001-02-9,4BP-TQS,4.556545591196077,-0.09865477161277054,0.4495249646426255,916
BRD-A19232309-001-08-6,PROPYLENE-GLYCOL,16.35286449832591,0.02959330468178332,0.4839353015188764,914
BRD-A20589515-001-03-9,DIHYDROXYPHENYLGLYCINE,3.238959757065076,-0.1473754612787569,0.4773431882607959,914
BRD-A22971209-001-01-0,DMPS,4.92604871897485,0.09075733278268433,0.44707504289171635,916
BRD-A25043798-001-02-9,CASIN,1.9748638209430784,-0.27375041194425576,0.5406197845169747,914
BRD-A25625670-001-02-7,GGSTOP,7.592191803789495,-0.05704181786018808,0.4330724220313732,914
BRD-A25988899-001-01-6,TENOFOVIR-ALAFENAMIDE,1.7615223169073728,-0.421143982782126,0.7418545243019693,914
BRD-A28422330-001-11-9,ML141,10.01765771423207,0.0566392462098207,0.5673925817220999,914
BRD-A29148886-003-02-9,RP-001,2.655874352053175,-0.20557849740055587,0.5459906585797666,916
